2017-12-14,,03,07,20,21,25,31,14
2017-12-10,,02,06,12,17,25,28,12
2017-12-05,,04,06,09,14,20,29,14
2017-11-30,,01,06,07,11,13,15,05
2017-11-26,,02,14,20,24,28,32,16
2017-11-21,,05,10,20,23,26,31,03
2017-11-16,,01,06,07,14,18,26,16
2017-11-12,,06,15,17,18,23,30,11
2017-11-07,,01,07,10,11,26,27,11
2017-11-02,,05,06,09,14,21,33,02
2017-10-29,,14,15,21,24,27,32,12
2017-10-24,,01,14,23,25,29,30,03
2017-10-19,,04,05,06,11,21,31,10
2017-10-15,,11,18,19,22,24,32,07
2017-10-10,,09,16,21,25,26,31,14
2017-12-14,,03,07,20,21,25,31,14
2017-12-10,,02,06,12,17,25,28,12
2017-12-05,,04,06,09,14,20,29,14
2017-11-30,,01,06,07,11,13,15,05
2017-11-26,,02,14,20,24,28,32,16
2017-11-21,,05,10,20,23,26,31,03
2017-11-16,,01,06,07,14,18,26,16
2017-11-12,,06,15,17,18,23,30,11
2017-11-07,,01,07,10,11,26,27,11
2017-11-02,,05,06,09,14,21,33,02
2017-10-29,,14,15,21,24,27,32,12
2017-10-24,,01,14,23,25,29,30,03
2017-10-19,,04,05,06,11,21,31,10
2017-10-15,,11,18,19,22,24,32,07
2017-10-10,,09,16,21,25,26,31,14
2017-12-14,,03,07,20,21,25,31,14
2017-12-10,,02,06,12,17,25,28,12
2017-12-05,,04,06,09,14,20,29,14
2017-11-30,,01,06,07,11,13,15,05
2017-11-26,,02,14,20,24,28,32,16
2017-11-21,,05,10,20,23,26,31,03
2017-11-16,,01,06,07,14,18,26,16
2017-11-12,,06,15,17,18,23,30,11
2017-11-07,,01,07,10,11,26,27,11
2017-11-02,,05,06,09,14,21,33,02
2017-10-29,,14,15,21,24,27,32,12
2017-10-24,,01,14,23,25,29,30,03
2017-10-19,,04,05,06,11,21,31,10
2017-10-15,,11,18,19,22,24,32,07
2017-10-10,,09,16,21,25,26,31,14
2017-12-14,,03,07,20,21,25,31,14
2017-12-10,,02,06,12,17,25,28,12
2017-12-05,,04,06,09,14,20,29,14
2017-11-30,,01,06,07,11,13,15,05
2017-11-26,,02,14,20,24,28,32,16
2017-11-21,,05,10,20,23,26,31,03
2017-11-16,,01,06,07,14,18,26,16
2017-11-12,,06,15,17,18,23,30,11
2017-11-07,,01,07,10,11,26,27,11
2017-11-02,,05,06,09,14,21,33,02
2017-10-29,,14,15,21,24,27,32,12
2017-10-24,,01,14,23,25,29,30,03
2017-10-19,,04,05,06,11,21,31,10
2017-10-15,,11,18,19,22,24,32,07
2017-10-10,,09,16,21,25,26,31,14
2017-12-14,,03,07,20,21,25,31,14
2017-12-10,,02,06,12,17,25,28,12
2017-12-05,,04,06,09,14,20,29,14
2017-11-30,,01,06,07,11,13,15,05
2017-11-26,,02,14,20,24,28,32,16
2017-11-21,,05,10,20,23,26,31,03
2017-11-16,,01,06,07,14,18,26,16
2017-11-12,,06,15,17,18,23,30,11
2017-11-07,,01,07,10,11,26,27,11
2017-11-02,,05,06,09,14,21,33,02
2017-10-29,,14,15,21,24,27,32,12
2017-10-24,,01,14,23,25,29,30,03
2017-10-19,,04,05,06,11,21,31,10
2017-10-15,,11,18,19,22,24,32,07
2017-10-10,,09,16,21,25,26,31,14
2017-12-14,,03,07,20,21,25,31,14
2017-12-10,,02,06,12,17,25,28,12
2017-12-05,,04,06,09,14,20,29,14
2017-11-30,,01,06,07,11,13,15,05
2017-11-26,,02,14,20,24,28,32,16
2017-11-21,,05,10,20,23,26,31,03
2017-11-16,,01,06,07,14,18,26,16
2017-11-12,,06,15,17,18,23,30,11
2017-11-07,,01,07,10,11,26,27,11
2017-11-02,,05,06,09,14,21,33,02
2017-10-29,,14,15,21,24,27,32,12
2017-10-24,,01,14,23,25,29,30,03
2017-10-19,,04,05,06,11,21,31,10
2017-10-15,,11,18,19,22,24,32,07
2017-10-10,,09,16,21,25,26,31,14
2017-12-14,,03,07,20,21,25,31,14
2017-12-10,,02,06,12,17,25,28,12
2017-12-05,,04,06,09,14,20,29,14
2017-11-30,,01,06,07,11,13,15,05
2017-11-26,,02,14,20,24,28,32,16
2017-11-21,,05,10,20,23,26,31,03
2017-11-16,,01,06,07,14,18,26,16
2017-11-12,,06,15,17,18,23,30,11
2017-11-07,,01,07,10,11,26,27,11
2017-11-02,,05,06,09,14,21,33,02
2017-10-29,,14,15,21,24,27,32,12
2017-10-24,,01,14,23,25,29,30,03
2017-10-19,,04,05,06,11,21,31,10
2017-10-15,,11,18,19,22,24,32,07
2017-10-10,,09,16,21,25,26,31,14
2017-12-14,,03,07,20,21,25,31,14
2017-12-10,,02,06,12,17,25,28,12
2017-12-05,,04,06,09,14,20,29,14
2017-11-30,,01,06,07,11,13,15,05
2017-11-26,,02,14,20,24,28,32,16
2017-11-21,,05,10,20,23,26,31,03
2017-11-16,,01,06,07,14,18,26,16
2017-11-12,,06,15,17,18,23,30,11
2017-11-07,,01,07,10,11,26,27,11
2017-11-02,,05,06,09,14,21,33,02
2017-10-29,,14,15,21,24,27,32,12
2017-10-24,,01,14,23,25,29,30,03
2017-10-19,,04,05,06,11,21,31,10
2017-10-15,,11,18,19,22,24,32,07
2017-10-10,,09,16,21,25,26,31,14
2017-12-14,,03,07,20,21,25,31,14
2017-12-10,,02,06,12,17,25,28,12
2017-12-05,,04,06,09,14,20,29,14
2017-11-30,,01,06,07,11,13,15,05
2017-11-26,,02,14,20,24,28,32,16
2017-11-21,,05,10,20,23,26,31,03
2017-11-16,,01,06,07,14,18,26,16
2017-11-12,,06,15,17,18,23,30,11
2017-11-07,,01,07,10,11,26,27,11
2017-11-02,,05,06,09,14,21,33,02
2017-10-29,,14,15,21,24,27,32,12
2017-10-24,,01,14,23,25,29,30,03
2017-10-19,,04,05,06,11,21,31,10
2017-10-15,,11,18,19,22,24,32,07
2017-10-10,,09,16,21,25,26,31,14
2017-12-14,,03,07,20,21,25,31,14
2017-12-10,,02,06,12,17,25,28,12
2017-12-05,,04,06,09,14,20,29,14
2017-11-30,,01,06,07,11,13,15,05
2017-11-26,,02,14,20,24,28,32,16
2017-11-21,,05,10,20,23,26,31,03
2017-11-16,,01,06,07,14,18,26,16
2017-11-12,,06,15,17,18,23,30,11
2017-11-07,,01,07,10,11,26,27,11
2017-11-02,,05,06,09,14,21,33,02
2017-10-29,,14,15,21,24,27,32,12
2017-10-24,,01,14,23,25,29,30,03
2017-10-19,,04,05,06,11,21,31,10
2017-10-15,,11,18,19,22,24,32,07
2017-10-10,,09,16,21,25,26,31,14
2017-12-14,,03,07,20,21,25,31,14
2017-12-10,,02,06,12,17,25,28,12
2017-12-05,,04,06,09,14,20,29,14
2017-11-30,,01,06,07,11,13,15,05
2017-11-26,,02,14,20,24,28,32,16
2017-11-21,,05,10,20,23,26,31,03
2017-11-16,,01,06,07,14,18,26,16
2017-11-12,,06,15,17,18,23,30,11
2017-11-07,,01,07,10,11,26,27,11
2017-11-02,,05,06,09,14,21,33,02
2017-10-29,,14,15,21,24,27,32,12
2017-10-24,,01,14,23,25,29,30,03
2017-10-19,,04,05,06,11,21,31,10
2017-10-15,,11,18,19,22,24,32,07
2017-10-10,,09,16,21,25,26,31,14
2017-12-14,,03,07,20,21,25,31,14
2017-12-10,,02,06,12,17,25,28,12
2017-12-05,,04,06,09,14,20,29,14
2017-11-30,,01,06,07,11,13,15,05
2017-11-26,,02,14,20,24,28,32,16
2017-11-21,,05,10,20,23,26,31,03
2017-11-16,,01,06,07,14,18,26,16
2017-11-12,,06,15,17,18,23,30,11
2017-11-07,,01,07,10,11,26,27,11
2017-11-02,,05,06,09,14,21,33,02
2017-10-29,,14,15,21,24,27,32,12
2017-10-24,,01,14,23,25,29,30,03
2017-10-19,,04,05,06,11,21,31,10
2017-10-15,,11,18,19,22,24,32,07
2017-10-10,,09,16,21,25,26,31,14
2017-12-14,,03,07,20,21,25,31,14
2017-12-10,,02,06,12,17,25,28,12
2017-12-05,,04,06,09,14,20,29,14
2017-11-30,,01,06,07,11,13,15,05
2017-11-26,,02,14,20,24,28,32,16
2017-11-21,,05,10,20,23,26,31,03
2017-11-16,,01,06,07,14,18,26,16
2017-11-12,,06,15,17,18,23,30,11
2017-11-07,,01,07,10,11,26,27,11
2017-11-02,,05,06,09,14,21,33,02
2017-10-29,,14,15,21,24,27,32,12
2017-10-24,,01,14,23,25,29,30,03
2017-10-19,,04,05,06,11,21,31,10
2017-10-15,,11,18,19,22,24,32,07
2017-10-10,,09,16,21,25,26,31,14
